glacier_name, lat, lon, total_area 
,28.429,98.599,0.77
116,41.47,70.39,0.8
40,41.03,77.83,1.34
,66.43,-53.46,0.3
,64.383,-65.606,15.513
/ULLSFJ,69.528,19.556,0.58
,-14.64,-69.232,4.82
MOINE,45.908,6.954,0.03
,30.605,86.426,1.22
,37.377,-118.753,0.05
80,79.68,99.6,2.1
,27.869,87.166,0.08
,80.263,-92.8,0.81
,32.448,77.81,0.17
,57.456,-129.35,0.01
,28.158,92.671,0.03
253,39.32,72.13,2.1
,28.987,97.572,0.35
ZESKHO,42.9,43.3,0.2
,32.621,77.875,0.125
107,40.52,74.38,0.2
,58.213,-129.898,0.18
Chila Pillune,-15.402,-72.17,0.92
,70.4,-51.5,0.57
,60.614,-138.989,0.31
,38.908,75.124,0.54
,32.302,78.566,0.5
108,43.48,84.6,4.16
,29.294,97.682,0.34
,68.25,-50.4,538.94
AV GICCK /TVEREV,68.026,16.797,2.13
,69.85,-54.65,0.12
,36.186,77.422,0.18
,56.571,-131.041,0.12
,36.542,87.549,1.49
,28.991,83.195,1.36
112,41.94,73.78,0.2
,36.635,89.52,0.03
,36.858,75.656,2.65
,31.714,77.761,1.71
,-43.386,170.32,0.292
Kyzyl-Oyukh,50.364,87.849,0.8
190,41.78,78.88,0.3
371,39.37,69.77,0.4
,56.766,-130.713,0.05
,57.4,-129.032,0.04
,36.064,79.209,0.61
GRAND VALLON GL.,45.436,7.042,0.11
404,39.2,72.47,0.3
,35.742,78.808,0.28
16,43.4,89.62,0.51
222,42.15,79.76,1.9
,-9.941,-77.246,0.62
,29.451,97.093,0.1
,59.919,-136.492, 
Kangla Miyar Gl,33.184,76.781,25.14
758,38.33,73.28,1.3
,31.459,80.914,0.13
34,43.2,86.45,0.35
,36.766,75.27,0.556
,61.534,-140.178,0.12
,35.959,71.386,0.11
Lisheng,30.211,90.312,4.4
44,40,73.73,0.2
,59.578,-136.349, 
,35.757,78.393,1.56
,-16.94,-67.357,0.01
38,42.85,82.7,0.39
127,36.88,71.75,1.6
,59.392,-136.796, 
,32.015,78.744,1.58
,35.865,77.381,0.19
222,41.73,78.99,0.1
47,39.35,73.12,12.4
,-61.128,-54.037,0.167
,29.041,97.642,0.42
,36.656,74.092,0.146
,31.892,95.176,0.21
,30.432,90.69,0.8
,30.122,90.243,4.1
100,45.02,79.95,0.2
Eureka Glacier,-69.7205,-68.1983, 
,35.027,76.753,4.24
,29.098,96.335,1.03
,-66.284,162.294,0.245
,36.195,79.51,0.46
219,45.13,80.6,1
,60.246,-136.629, 
,36.998,75.078,2.572
,35.203,75.046,0.346
,31.075,81.49,0.04
,37.421,87.611,0.34
,-33.202,-70.192,1.05
,31.261,79.228,0.03
No 279,38.771,71.983,2.4
,30.028,87.93,0.28
292,39.92,72.62,1.2
158,39.02,69.03,0.4
,47.8,-123.6,0.11
,29.341,82.341,0.4
,60.526,-138.597, 
,27.898,87.18,0.16
,32.463,78.212,1.42
,30.003,90.117,1.7
